CustomerID,Recency,Frequency,Monetary,Cluster

12346,325,1,1.04,1
12347,1,7,2.644010989010989,0
12348,74,4,5.764838709677419,0
12349,18,1,8.289041095890411,0
12350,309,1,3.841176470588235,1
12352,35,8,15.93070588235294,0
12353,203,1,6.074999999999999,1
12354,231,1,4.5037931034482765,1
12355,213,1,4.203846153846154,1
12356,22,3,3.201186440677966,0
12357,32,1,3.3486259541984733,0
12358,1,2,8.27421052631579,0
12359,57,4,8.620403225806452,0
12360,51,3,3.5496899224806198,0
12361,286,1,3.335,1
12362,2,10,3.94093984962406,0
12363,109,2,2.3117391304347827,0
12364,7,4,1.910235294117647,0
12365,290,2,17.150454545454547,1
12367,3,1,3.2,0
12370,50,4,2.800299401197605,0
12371,44,2,3.8742857142857146,0
12372,71,3,3.001346153846154,0
12373,310,1,4.582142857142857,1
12374,24,1,4.21969696969697,0
12375,10,2,6.912941176470589,0
12377,314,2,2.718831168831169,1
12378,129,1,2.9974429223744297,0
12379,81,2,2.86625,0
12380,21,4,3.378653846153846,0
12381,4,5,4.683218390804598,0
12383,184,5,3.086969696969697,1
12384,28,2,7.87925925925926,0
12386,337,2,2.391,1
12388,15,6,2.7777,0
12390,79,1,3.996875,0
12391,21,1,2.4599,0
12393,71,4,2.2796875,0
12394,63,2,3.3707407407407404,0
12395,18,12,3.9688461538461537,0
12397,35,2,3.4682539682539684,0
12398,45,1,1.992705882352941,0
12399,118,4,2.1145762711864404,0
12401,302,1,9.68,1
12402,322,1,3.290909090909091,1
12403,49,1,7.080000000000001,0
12405,148,1,3.5442592592592597,1
12406,21,2,2.487047619047619,0
12407,49,5,3.2674025974025973,0
12408,32,5,3.0228571428571427,0
12409,78,3,3.574495412844037,0
12410,308,2,6.335384615384616,1
12412,74,3,2.7137704918032783,0
12413,66,3,4.798421052631579,0
12414,216,3,8.57,1
12415,23,21,2.9370868347338934,0
12417,2,9,5.337916666666666,0
12418,112,1,3.5644117647058824,0
12420,63,1,4.707241379310345,0
12421,15,4,4.520222222222222,0
12422,95,3,3.26025641025641,0
12423,0,8,2.9135999999999997,0
12424,162,2,2.780666666666667,1
12425,77,1,2.5644444444444443,0
12426,194,1,3.9363333333333332,1
12427,21,3,4.589032258064516,0
12428,25,9,4.627414965986395,0
12429,8,4,3.6307216494845362,0
12430,42,1,6.225454545454546,0
12431,35,15,3.785063829787234,0
12432,42,5,10.550833333333333,0
12433,0,7,2.1927380952380955,0
12434,84,2,3.6726,0
12435,79,2,5.479166666666667,0
12436,99,1,5.2675,0
12437,1,18,4.0125628140703515,0
12438,13,2,3.894897959183673,0
12441,366,1,3.700909090909091,1
12442,2,1,3.34,0
12444,20,5,6.3586931818181816,0
12445,21,1,7.9875,0
12446,57,1,4.352631578947368,0
12447,242,1,3.5742307692307693,1
12448,43,1,5.951818181818182,0
12449,21,4,3.694712041884817,0
12450,155,2,1.6175,1
12451,10,5,2.450084745762712,0
12452,16,2,4.485,0
12453,133,1,2.393255813953488,0
12454,55,1,7.282,0
12455,72,6,3.173333333333334,0
12456,43,3,3.62456,0
12457,65,7,5.357096774193548,0
12458,70,2,4.326315789473685,0
12461,93,2,4.258857142857143,0
12462,18,2,4.689516129032258,0
12463,52,4,3.0434939759036146,0
12464,9,8,11.832758620689654,0
12465,16,2,2.76,0
12468,187,2,3.5149999999999997,1
12471,1,30,4.300369565217392,0
12472,31,7,2.397669616519174,0
12473,28,5,8.323928571428572,0
12474,16,18,2.8656603773584903,0
12475,53,1,2.941111111111111,0
12476,15,11,4.831030042918456,0
12477,22,6,4.3832,0
12478,3,1,4.537777777777778,0
12479,10,1,2.6687096774193546,0
12480,27,4,3.1344155844155845,0
12481,22,10,3.4149769585253456,0
12483,16,8,5.198133333333334,0
12484,32,6,3.126098265895954,0
12488,9,3,3.7347272727272727,0
12489,335,1,5.908,1
12490,4,10,2.692857142857143,0
12491,38,1,3.376923076923077,0
12492,62,2,3.3475,0
12493,165,2,4.309090909090909,1
12494,15,7,3.862207792207792,0
